Data_Hora,IdTweet,Tweet,Candidato,tweet_limpo
2022-07-30 22:06:17+00:00,1553502265918504960,@jairbolsonaro 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,Bolsonaro, 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮
2022-07-30 22:06:17+00:00,1553502264446312448,@crisdemarchii @jairbolsonaro Eu assinei,Bolsonaro,  eu assinei
2022-07-30 22:06:16+00:00,1553502261506150401,"Ciro Nogueira é vaiado em convenção do PDT no Piauí: “Fora bolsonarista, fora Bolsonaro!"" (vídeo) https://t.co/hBHVZ79TZr",Bolsonaro,"ciro nogueira é vaiado em convenção do pdt no piauí: “fora bolsonarista, fora bolsonaro!"" (vídeo) "
2022-07-30 22:06:14+00:00,1553502254103236610,"@Calabouco21 @joicehasselmann Vocês não querem admitir que Bolsonaro é uma raposa velha.
Reclamam que ele se aliou ao centrão, Por que queriam deixar ele isolado quando infiltrados, abandonaram ele no meio da guerra.
Jogaram ele aos lobos e ele veio liderando a matilha.
Bolsonaro deu aula de estratégia.
🤣🤣",Bolsonaro,"  vocês não querem admitir que bolsonaro é uma raposa velha.reclamam que ele se aliou ao centrão, por que queriam deixar ele isolado quando infiltrados, abandonaram ele no meio da guerra.jogaram ele aos lobos e ele veio liderando a matilha.bolsonaro deu aula de estratégia.🤣🤣"
2022-07-30 22:06:14+00:00,1553502252614258688,"@Kener_Pascoal @LulaOficial @dilmabr Em 1955 Zé Dantas e Gonzagão compuseram a música Riacho do Navio. Naquele mesmo ano nascia @jairbolsonaro 
Em 2022 Bolsonaro atualizou a letra da música.
Riacho do Navio
Corre pro Pajeú
O rio Pajeú vai despejar
No São Francisco
O rio São Francisco
Vai bater no ""Ceará""",Bolsonaro,"   em 1955 zé dantas e gonzagão compuseram a música riacho do navio. naquele mesmo ano nascia  em 2022 bolsonaro atualizou a letra da música.riacho do naviocorre pro pajeúo rio pajeú vai despejarno são franciscoo rio são franciscovai bater no ""ceará"""
2022-07-30 22:06:13+00:00,1553502247027412993,"Brasil 247: 'Bolsonaro não fez transposição nem para lavar mentiras', diz Lula.
https://t.co/FmUPAJMKA6

através do @GoogleNews",Bolsonaro,"brasil 247: 'bolsonaro não fez transposição nem para lavar mentiras', diz lula. do "
2022-07-30 22:06:12+00:00,1553502246566076416,"""É Bolsonaro"" #CapitaoNoPrimeiroTurno https://t.co/QSJC7GRlT0",Bolsonaro,"""é bolsonaro""  "
2022-07-30 22:06:12+00:00,1553502244036923393,"Ciro Gomes diz que “não há caminho” para apoiar Lula no segundo turno contra Bolsonaro

https://t.co/iXS2IV55Jz",Bolsonaro,ciro gomes diz que “não há caminho” para apoiar lula no segundo turno contra bolsonaro
2022-07-30 22:06:11+00:00,1553502239544721416,"“PEC para blindar Bolsonaro é totalmente inconstitucional”, diz Pedro Serrano https://t.co/Q9gsUe55cr",Bolsonaro,"“pec para blindar bolsonaro é totalmente inconstitucional”, diz pedro serrano "
2022-07-30 22:06:10+00:00,1553502235392344065,@DamaresAlves @jairbolsonaro foi escateada kkkkkkki sobe na goiabeira,Bolsonaro,  foi escateada kkkkkkki sobe na goiabeira
2022-07-30 22:06:10+00:00,1553502235384057856,"Padilha: “Em 2018, Bolsonaro teve 8 milhões de votos a mais em SP; Lula ... https://t.co/hBTyqQfLUV via @YouTube",Bolsonaro,"padilha: “em 2018, bolsonaro teve 8 milhões de votos a mais em sp; lula ...  via "
2022-07-30 22:06:09+00:00,1553502234121568256,@DamaresAlves @jairbolsonaro https://t.co/FVTCwg9AKy,Bolsonaro,  
